" and "," and "
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加"
"- Hold mouse button on any of the above buttons for faster selection.","より速く実行されるようにこれ以上マウスボタンを押さないでください＊"
"- or click and drag for faster selection.","またはクリックとドラッグでより素早く選択できます。"
"- or Shift-click to decrease it","またはShiftキーを押しながらクリックすることで減らすことができます"
"- Use the %s buttons to select month","- %sボタンを使って月を選択"
"- Use the %s, %s buttons to select year","- %sと%sボタンで年を選択"
"-- Please Select Billing Agreement--","-- 支払条件を選択してください--"
"(\\t for tab)","(\\tをタブ文字に使用する)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(絶対パスまたはMagentoのインストールパスからの相対パス。例：var/export)"
"(For US 2-letter state names)","(アメリカの場合は 州名2文字表記)"
"(If left empty will be auto-generated)","(空白の場合は自動生成します)"
"(Leave empty for first spreadsheet)","(最初のスプレッドシートのために空白にする)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(輸入品ファイルの中の'ストア'のコラムに商品がなければ、このストアに追加/アップロードされます。)"
"(Shift-)Click or drag to change value","クリックまたはドラッグで価格を変更"
"(Starting with)","(で始まる)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","('No'のときはマッピングされたフィールドだけがインポートされます。マッピングするには'column1', 'column2'のように書きます)"
"(You have to increase php memory_limit before changing this value)","(この価格を変更する前にphp memory_limitを増加させなければいけません。)"
"About the calendar","カレンダーについて"
"Access denied.","アクセス拒否。"
"Account Created in:","アカウント作成元:"
"Account Created on (%s):","アカウント作成元 (%s):"
"Account Created on:","アカウント作成元:"
"Action","アクション"
"Actions","アクション"
"Add Author","作者を追加"
"Add Contents Path","コンテンツパスを追加"
"Add Field with URL:","URL追加:"
"Add New Role","新しい権限の追加"
"Add New User","新しいユーザーを追加"
"Add Package dependency","パッケージ依存性を追加"
"Add PHP Extension dependency","PHPエクステンション依存性を追加"
"Address Type:","住所タイプ:"
"All","全て"
"All fields","全てのフィールド"
"All Websites","全てのウェブサイト"
"Archive file name:","書庫ファイル名:"
"Are you sure that you want to delete this template?","このテンプレートを削除してもいいですか？"
"Are you sure that you want to strip tags?","タグを除去しても構いませんか？"
"Attribute Set Name:","属性セット名:"
"Attributes","属性"
"Authors","作者"
"Available Products","有効な商品"
"Big Image","拡大画像"
"Billing Address","購入者住所"
"Billing Agreement","支払契約"
"Bundle Items","セット商品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."," ダイナミックプライシングでのバンドルはカスタム定義したオプションを含むことはできませんのでオプションは保存されません。"
"Card Verification Number","カード確認番号"
"Catalog","カタログ"
"Channel","チャンネル"
"Child Transactions","子トランザクション"
"Choose Store View","ストアビューを選択"
"Clear","クリア"
"Client Session Timeout (sec.)","クライアントセッションタイムアウト (秒)"
"Close","閉じる"
"Comments History","コメント履歴"
"Confirmed email:","確認用Eメール:"
"Connect with the Magento Community","Magentoコミュニティに接続"
"Contents","コンテンツ"
"Country:","国:"
"Created At","作成日"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Memo History","クレジットメモ履歴"
"Credit Memo Totals","クレジットメモ合計"
"critical","重要"
"CSV / Tab separated","タブ区切りのCSVファイル"
"Current Configuration Scope:","現在の設定範囲:"
"Custom","カスタム"
"Customer","顧客"
"Customer Group:","顧客グループ:"
"Customer Since:","顧客登録日時:"
"Customers","顧客"
"Dashboard","ダッシュボード"
"Data Format","データフォーマット"
"Data transfer:","データ転送:"
"Date selection:","日付選択:"
"Date selector","日付選択"
"Decimal separator:","桁区切り:"
"Default (Admin) Values","標準(管理者)値"
"Default Billing Address","標準の購入者住所"
"Default Values","標準値"
"Delete","削除"
"DHTML Date/Time Selector","DHTMLの日付/時間セレクタ"
"Direction:","向き:"
"Display %s first","%sを最初に表示"
"Distributed under GNU LGPL. See %s for details.","GNU LGPLライセンスのもとで配布されています。詳細は%sを見てください。"
"Drag to move","ドラッグして移動"
"Edit Role","権限の編集"
"Edit User '%s'","ユーザー'%s'の編集"
"Email","Eメール"
"Email Preview","メールのプレビュー"
"Email:","Eメール:"
"Enclose Values In:","Enclose Values In＊:"
"Entity type:","統一タイプ"
"Excl. Tax","税別"
"Expiration Date","有効期限"
"Expiration Date: %s/%s","有効期限: %s/%s"
"Export","エクスポート"
"Export Filters","エクスポートフィルタ"
"Export to:","エクスポート先:"
"Export:","エクスポート:"
"Extension","エクステンション"
"Extensions","エクステンション"
"Field Mapping","フィールドマッピング"
"File Information","ファイル情報"
"File name:","ファイル名:"
"Files","ファイル"
"Final Price","最終価格"
"First Name:","名:"
"For latest version visit: %s","＊: %s"
"From","＊"
"FTP Host[:Port]","FTP IPアドレス[:ポート番号]"
"General Information","全般情報"
"General Settings","一般設定＊"
"Get help for this page",""
"Global Record Search","全体検索"
"Go Today","＊"
"Google Base Items","Googleベースの商品"
"Group:","グループ:"
"Help Us Keep Magento Healthy - Report All Bugs","Magentoを健全に保つためにご協力ください - バグを報告する"
"Ignore","無視"
"Images","画像"
"images/logo.gif","images/logo.gif"
"Import","インポート"
"Import Service","インポートサービス"
"In Database:","＊:"
"In File:","In File:"
"Incl. Tax","税込"
"Include","含む"
"Interactive","インタラクティブ"
"Interface Locale: %s","インターフェース場所: %s"
"Invalid webservice adapter specified.","不正なWebサービスアダプタが指定されました。"
"Invalid webservice handler specified.","不正なWebサービスハンドラが指定されました。"
"Invoice History","納品履歴"
"Invoice Totals","納品履歴"
"Is Closed","クローズ済"
"Issue Number","発行ナンバー"
"Issuer: %s","発行: %s"
"items selected",""
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSSキャッシュ"
"Last 5 Orders","最後に注文した5件"
"Last 5 Search Terms","最後に検索した用語５つ"
