"-- Please Select --","-- 選択してください --"
"(%d)","(%d)"
"(Copy data from: %s)","(コピーしています: %s)"
"(Will make search for the query above return results for this search.)","(上記の検索クエリはこの検索結果を返します)"
"[GLOBAL]","[グローバル]"
"* Required Fields","* 必須項目"
"# of Use","件使用中"
"%1$s incl tax.","%1$s 税込"
"%s - %s","%s - %s未満"
"%s Item(s)","%s件の商品"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","設定されない場合デフォルトの86400が使用されます。すぐに更新するにはブロックHTMLアウトプットキャッシュをクリアしてください。"
"A group with the same name already exists.","同じ名前のグループが既に存在しています。"
"A name is required","名前が必要です。"
"A product type is not defined for the indexer.","商品種別はインデックス処理で未定義です。"
"Action","アクション"
"Add Attribute","属性の追加"
"Add Design Change","デザインの変更を追加"
"Add Group","グループの追加"
"Add New","新規作成"
"Add New Attribute","新しい属性の追加"
"Add New Attribute Set","新しい属性の追加"
"Add New Group","新規グループの追加"
"Add New Images","新しい画像を追加"
"Add New Option","新規オプションの追加"
"Add New Row","新しい列の追加"
"Add New Search Term","新しい検索ワードを追加"
"Add New Set","新規セットの追加"
"Add Product","新規商品の追加"
"Add Product To Websites","商品をウェブサイトに追加"
"Add Root Category","ルートカテゴリを追加"
"Add Subcategory","サブカテゴリを追加"
"Add Tax","税を追加"
"Add Tier","階層の追加"
"Add to Cart","カートに入れる"
"Add to Compare","比較リストに追加"
"Add to Wishlist","欲しいものリストに追加"
"Additional Information","追加情報"
"Alert Urls","アラートURL"
"All","全て"
"ALL GROUPS","全てのグループ"
"All Product Types","全ての商品タイプ"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","全ての商品からこのセットが削除されます！ この属性セットを削除してもよろしいですか？"
"All Websites","全てのウェブサイト"
"Allow All Products per Page","全商品を1ページに表示させる"
"Allow Dynamic Media URLs in Products and Categories","動的なメディアURLを商品とカテゴリに許可する。"
"Allow HTML Tags on Frontend","フロントエンドでHTMLタグを許可する"
"Allowed File Extensions","許可する拡張子"
"Allowed file extensions to upload","許可した拡張子のファイルをアップロードする"
"AM","AM"
"An error occurred while adding customers for the %s alert. Message: %s","%sの更新通知に顧客を追加できませんでした。エラーメッセージ: %s"
"An error occurred while adding products to websites.","商品をウェブサイトに追加中にエラーが発生しました。"
"An error occurred while clearing comparison list.","比較リストのクリア中にエラーが発生しました。"
"An error occurred while removing products from websites.","ウェブサイトから商品を削除中にエラーが発生しました。"
"An error occurred while saving the attribute set.","属性セットの保存中にエラーが発生しました。"
"An error occurred while saving the collection, aborting. Error message: %s","コレクションの保存中にエラーが発生しました。処理を中止します。エラーメッセージ: %s"
"An error occurred while saving the product. ","商品を保存中にエラーが発生しました。"
"An error occurred while saving the search query.","検索キーワードを保存中にエラーが発生しました。"
"An error occurred while saving the URL rewrite.","URL書き換えの保存中にエラーが発生しました。"
"An error occurred while saving this group.","グループを保存中にエラーが発生しました。"
"An error occurred while trying to delete the category.","カテゴリの削除中にエラーが発生しました。"
"An error occurred while updating the product(s) attributes.","商品属性の更新中にエラーが発生しました。"
"An error occurred while updating the product(s) status.","商品ステータスの更新中にエラーが発生しました。"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s)に不正なオプションIDが指定されました。レコードをスキップします。"
"An invalid store was specified.","不正な店舗が指定されました。"
"Anchor Custom Text","アンカーカスタムテキスト"
"Anchor Custom Title","アンカーカスタムタイトル"
"and","と"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply To","適用終了日"
"Approved","承認"
"Are you sure you want to delete this category?","このカテゴリを削除してもいいですか？"
"Are you sure you would like to remove all products from your comparison?","本当に比較の中からすべての商品を取り除きますか?"
"Are you sure you would like to remove this item from the comparison list?","比較リストからこの商品を削除してもいいですか？"
"Are you sure?","よろしいですか？"
"As low as:","できるだけ低く:"
"Assign","割り当て"
"Assign product link","割り当てた商品のリンク"
"Assign product to category","商品をカテゴリに割り当てる"
"Assigned Products","割り当て済み商品"
"Associated Products","関連する商品"
"Attrib. Set Name","属性セット名"
"Attribute ""%s"" is invalid.","属性""%s""が不正です。"
"Attribute ""%s"" is required.","属性""%s""が必要です。"
"Attribute group with the \",属性グループ \""""""""""
"Attribute Information","属性情報"
"Attribute Model","属性のモデル"
"Attribute Name:","属性の名前:"
"Attribute Set","属性セット"
"Attribute with the same code already exists","同じコードの属性が既に存在します。"
"Attributes","属性"
"Attrribute names can be specified per store.","属性名は店舗ごとに指定できます。"
"Autogenerate","自動生成"
"Availability:","在庫状況:"
"Back","戻る"
"Backend Model","バックエンドモデル"
"Backend Table","バックエンドテーブル"
"Backend Table Title","バックエンドテーブルタイトル"
"Backorders","バックオーダー"
"Based On","元"
"Best Value","お買い得"
"Block after Info Column","情報列の後にブロックを配置する"
"Bottom Block Options Wrapper","ボトムブロックオプションラッパー"
"Bottom/Left","下部/左"
"Bottom/Right","下部/右"
"Browse By","閲覧数"
"Buy %1$s for %2$s","%1$s お買い上げごとに %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s お買い上げごとに %2$s (税込み %3$s) "
"Buy %1$s for %2$s each","%1$s お買い上げごとに %2$s"
"Cache Lifetime (Seconds)","キャッシュ有効期間 (秒)"
"Cache refresh needed.","キャッシュ更新が必要です。"
"Can be used only with catalog input type Dropdown","カタログのドロップダウンとだけ一緒に使用できます"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ドロップダウンリストは複数選択または価格でのみ利用可能です"
"Cannot create image.","画像を作成できません。"
"Cannot create writeable directory '%s'.","書き込み可能なディレクトリ '%s' を作成できません。"
"Cart Item Attribute","カートアイテム属性"
"Catalog","カタログ"
"Catalog Category (Anchor)","カテゴリ (アンカー)"
"Catalog Category (Non-Anchor)","カテゴリ (アンカーなし)"
"Catalog Category (Without Subcategories)","カテゴリ (サブカテゴリなし)"
"Catalog Category Link","カテゴリリンク"
"Catalog New Products List","新着商品リスト"
"Catalog Price Scope","カタログ価格範囲"
"Catalog Product Compare List","商品比較リスト"
"Catalog Product Email to a Friend","商品を友達にメールする"
"Catalog Product Image Gallery Popup","商品画像ギャラリーポップアップ"
"Catalog Product Link","商品リンク"
"Catalog Product View (Any)","商品詳細画面 (全て)"
"Catalog Product View (Configurable)","商品詳細画面 (設定可能な商品)"
"Catalog Product View (Grouped)","商品詳細画面 (グループ)"
"Catalog Product View (Simple)","商品詳細画面 (シンプル)"
"Catalog Product View (Virtual)","商品詳細画面 (仮想)"
"Catalog Section","カタログセクション"
"Catalog Seo Popular Search Terms","よく利用される検索キーワード"
"Catalog Seo Sitemap (Category List)","カタログサイトマップ (カテゴリリスト)"
"Catalog Seo Sitemap (Category Tree)","カタログサイトマップ (カテゴリツリー)"
"Catalog Seo Sitemap (Common)","カタログサイトマップ (共通)"
"Catalog Seo Sitemap (Product List)","カタログサイトマップ (商品一覧)"
"Catalog URL Rewrites","カタログURL書換"
"Catalog, Search","カタログ, 検索"
"Categories","カテゴリ"
"categories","カテゴリ"
"Categories Sitemap","カテゴリのサイトマップ"
"Category","カテゴリ"
"Category API","カテゴリAPI"
"Category attributes API","カテゴリ属性API"
"Category Data","カテゴリデータ"
"Category Flat Data","カテゴリフラットデータ"
"Category Link Block Template","カテゴリリンクブロックテンプレート"
"Category Link Inline Template","カテゴリリンクインラインテンプレート"
"Category move error","カテゴリ移動エラー"
"Category move operation is not possible: the new parent category was not found.","カテゴリ移動ができません。新しい親カテゴリが存在しません。"
"Category must be an instance of Mage_Catalog_Model_Category.","カテゴリはMage_Catalog_Model_Categoryのインスタンスである必要があります。"
"Category Products","カテゴリの商品"
"Category Top Navigation","カテゴリTOPナビゲーション"
"Category URL Suffix","カテゴリURL接尾辞"
"Center","中央"
"Change","変更"
