"%s already exist","%sはすでに存在しています"
"%s already exists","%sは既に存在しています"
"-- Please Select --","-- 選択して下さい --"
"Add Block Names to Hints","ブロック名をヒントに追加する"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","店舗コードをURLに追加する"
"Admin","管理"
"Admin Base URL","管理者ページベースURL"
"Admin User Emails","管理者ユーザーメールアドレス"
"Advanced","高度な設定"
"Allow countries","許可する国"
"Allowed IPs (comma separated)","許可されたIP(コンマ区切り)"
"Are you sure?","よろしいですか？"
"Back","戻る"
"Backup options","バックアップオプション"
"Base JavaScript URL","JavascriptベースURL"
"Base Link URL","リンクベースURL"
"Base Media URL","メディアベースURL"
"Base Skin URL","スキンベースURL"
"Base URL","ベースURL"
"Before modifying the store view code please make sure that it is not used in index.php","ストアビューのコードを変更する前に、index.phpで使用されていないか確認してください。"
"Before modifying the website code please make sure that it is not used in index.php","ウェブサイトコードを変更する前にindex.phpで使用されていないか確認してください"
"Block with name ""%s"" already exists","""%s""の名前のブロックはすでに存在します"
"Blocks HTML output","ブロックHTML出力"
"Can't retrieve request object","リクエストオブジェクトを取得できません"
"Can\'t retrieve entity config: %s","エントリ属性を取得できませんでした: %s"
"Cancel","キャンセル"
"Cannot Delete Email Template","メールテンプレートを削除できません"
"Cannot complete this operation from non-admin area.","管理者ではない場所からの操作を完了できませんでした。"
"Category object is required for determining product request path","カテゴリオブジェクトは製品へのリクエストパス決めるのに必要です。"
"Code","コード"
"Collections Data","コレクション日付"
"Configuration","構成"
"Controller file was loaded but class does not exist","コントローラはロードされていますがクラスがありません。"
"Cookie Domain","クッキードメイン"
"Cookie Lifetime","Cookieの有効期限"
"Cookie Path","クッキーパス"
"Copyright","Copyright"
"Countries options","国オプション"
"Create Store","店舗を作成"
"Create Store View","店舗ビューを作成"
"Create Website","ウェブサイトを作成"
"Current package name","現在のパッケージ名"
"Custom Design","カスタムデザイン"
"Custom admin URL","カスタム管理者URL"
"Custom email 1","カスタムメール1"
"Custom email 2","カスタムメール2"
"Customer support","顧客サポート"
"Date From","開始日"
"Date To","終了日"
"Date/time format ""%s"" is not supported.","日付のフォーマット ""%s"" はサポートされていません。"
"Debug","デバッグ"
"Default","標準"
"Default Description","初期説明"
"Default Keywords","初期キーワード"
"Default Pages","標準のページ"
"Default Robots","初期処理"
"Default Store","標準の店舗"
"Default Store View","標準の店舗ビュー"
"Default Title","初期タイトル"
"Default country","標準の国"
"Default no-route url","標準のルート外URL"
"Default web url","標準のドキュメントルート"
"Delete","削除"
"Delete Store","店舗を削除"
"Delete Store View","店舗ビューを削除"
"Delete Website","ウェブサイトを削除"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s を削除しても %1$s (例えば、カテゴリや製品など) に関連した情報は削除しません。但し %1$s は元に戻すことはできません。 %1$s を削除する前にデータベースのバックアップを取得する事をおすすめします。"
"Design","デザイン"
"Design Change","デザイン変更"
"Developer","開発者向け"
"Developer Client Restrictions","開発者クライアント制限"
"Disable email communications","メールでの連絡を無効にする"
"Disable modules output","無効なモジュール出力"
"Duplicate Of Template Code","テンプレートコードの重複"
"Edit Design Change","デザイン変更を編集"
"Edit Store","店舗を編集"
"Edit Store View","店舗ビューを編集"
"Edit Website","ウェブサイトを編集"
"Empty identifier field name","空の識別子名"
"Empty main table name","空のメインテーブル名"
"Enabled","有効"
"Enabled for Admin","管理者ページで有効にする"
"Enabled for Frontend","フロントエンドで有効にする"
"Error in file: ""%s"" - %s","ファイル内でエラーが発生しました: ""%s"" -%s"
"Error while saving. Please try again later.","保存中にエラーが発生しました。やり直してください。"
"Error: Passwords do not match","エラー : パスワードが一致しません"
"Exceptions Log File Name","例外ログファイル名"
"First Day of Week","週の始まり"
"Footer","フッター"
"Forgot Password Email Sender","パスワードリマインダメール送信者"
"Forgot Password Email Template","パスワードリマインダメールテンプレート"
"General","全般"
"General Settings","全般設定"
"General contact","総合受付"
"Global","共通"
"HTML Head","HTML ヘッダ"
"Header","ヘッダー"
"Host","ホスト"
"Id path for specified store","指定した店舗のID"
"Incorrect credit card expiration date","不正なクレジットカード有効期限"
"Invalid base url type","不正なベースURLタイプ"
"Invalid block name to set child %s: %s","不正な子ブロック名です %s: %s"
"Invalid block type: %s","不正なブロック名です: %s"
"Invalid block: %s","不正なブロック: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Mage_Core_Model_Layout_Elementの想定外の更新引数です"
"Invalid layout update handle","無効なレイアウトを更新しようとしました。"
"Invalid messages storage ""%s"" for layout messages initialization","レイアウトメッセージ初期化で不正なメッセージストレージ ""%s"""
"Invalid transactional email code: ","不正なEメールトランザクションコード: "
"Invalid websites configuration path: %s","不正なウェブサイト設定パス: %s"
"Layout","レイアウト"
"Layouts","レイアウト"
"Leave empty for access from any location","空白にするとどこからでもアクセス可能です"
"Locale","ロケール"
"Locale options","ロケールオプション"
"Log Settings","ログ設定"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Mage::log() からログ監視します。 ファイルは {{base_dir}}/var/log に出力します。"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Mage::logException() からログ監視します。ファイルは {{base_dir}}/var/log に出力します。"
"Logo Image Alt","ロゴ画像のAlt"
"Logo Image Src","ロゴ画像のソース"
"Manage Stores","店舗管理"
"Match expressions in the same order as displayed in the configuration.","画面に表示する順序が同じになるようあわせてください"
"Miscellaneous HTML","色々な HTML"
"Miscellaneous scripts","色々なスクリプト"
"Model class does not exist: %s","モデルクラスがありません: %s"
"Model collection resource name is not defined","モデルコレクションリソース名が未定義です"
"Module ""%1$s"" can not be depended from ""%2$s""","モジュール ""%1$s"" は""%2$s""に依存していません。"
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","名前"
"New Design Change","新しいデザイン変更"
"New Store","新しい店舗"
"New Store View","新しい店舗ビュー"
"New Website","新しいウェブサイト"
"No","No"
"Package","パッケージ"
"Please choose to register or to checkout as a guest","登録せずに購入または新規登録して購入を選択してください"
"Please define flag code.","フラグコードを決めてください。"
"Please enter 6 or more characters.","6文字以上入力してください"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","6文字以上を入力してください。先頭と最後の空白は無視されます。"
"Please enter a number greater than 0 in this field.","0条の数字を入力してください"
"Please enter a valid $ amount. For example $100.00.","正しい金額表示で入力してください"
"Please enter a valid URL. For example http://www.example.com or www.example.com","正しいURLを入力してください。（例：http://www.example.com または www.example.com）"
"Please enter a valid URL. http:// is required","正しいURLを入力してください。「http://」が必要です。"
"Please enter a valid credit card number.","正しいクレジットカード番号を入力してください。"
"Please enter a valid date.","正しい日付を入力してください。"
"Please enter a valid email address. For example johndoe@domain.com.","正しいメールアドレスを入力してください。（例：johndoe@domain.com）"
"Please enter a valid number in this field.","正しい数字で入力してください。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","正しい電話番号の形式で入力してください。（例：(123) 456-7890 or 123-456-7890）"
"Please enter a valid social security number. For example 123-45-6789.","正しい社会保障番号を入力してください。（例：123-45-6789）"
"Please enter a valid zip code.","正しい郵便番号を入力してください。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","正しい郵便番号を入力してください。（例：123-4567）"
"Please enter valid password.","正しいパスワードを入力してください。"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","ＵＲＬが'/' (スラッシュ)（例えば、http://yourdomain/magento/）で"
"Please make sure your passwords match.","パスワードを一致させてください。"
"Please select State/Province.","県を選択してください"
"Please select an option.","オプションを選択してください。"
"Please select one of the above options.","オプションをひとつ選択してください。"
"Please select one of the options.","オプションをひとつ選択してください。"
"Please specify payment method.","支払方法を選択してください。"
"Please specify shipping method.","配送方法を選択してください。"
"Please use letters only (a-z or A-Z) in this field.","この入力エリアには (a-z or A-Z) 文字のみが使用できます。"
"Please use letters only (a-z) in this field.","記号と数字以外で入力してください。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","このフィールドには数字を入力してください。"
