"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","APIログインID"
"Accepted currency","Accepted currency"
"Authorize Only","与信確保のみ"
"Authorize and Capture","認証とキャプチャ"
"Authorize.net","Authorize.net"
"Centinel API URL","Centinel API URL"
"Credit Card Types","クレジットカードタイプ"
"Credit Card Verification","カード確認番号"
"Debug","デバッグ"
"Email customer","メールアドレス"
"Enabled","有効"
"Error in authorizing the payment","支払い認証中にエラーが発生しました"
"Error in capturing the payment","売上確定中にエラーが発生しました"
"Error in payment gateway","ゲートウエイにエラーが発生しました"
"Error in refunding the payment","エラーが発生しました。"
"Error in refunding the payment.","エラーが発生しました。"
"Error in retrieving the transaction","トランザクション取得中にエラーが発生しました"
"Fraud order status","注文状態が不正です"
"Gateway error: %s","Gateway error: %s"
"Invalid amount for authorization","認証に不正な額"
"Invalid amount for authorization.","認証に不正な額"
"Invalid transaction id","不正なトランザクションIDです。"
"Live: <strong>https://payflowpro.paypal.com/transaction</strong><br />Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>","Live: <strong>https://payflowpro.paypal.com/transaction</strong><br />Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>"
"Maximum Order Total","最大注文価格"
"Merchant Login","店舗運営者ログイン"
"Merchant's email","店舗運営者のメールアドレス"
"Minimum Order Total","最小注文価格"
"New order status","新しい受注のステータス"
"Partner","パートナー"
"Password","パスワード"
"Payflow Pro","Payflow Pro"
"Payment Action","支払アクション"
"Payment authorization error.","支払い認証エラー"
"Payment authorization transaction has been declined.","支払い認証トランザクションが拒否されました"
"Payment from Specific countries","指定した国から支払いを行う"
"Payment from applicable countries","購入可能な国からの支払い"
"Proxy Host","プロキシホスト"
"Proxy Port","プロキシポート"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Sort order","並び順"
"TENDER","TENDER"
"Test mode","テストモード"
"Title","タイトル"
"Transaction key","トランザクションキー"
"URL","URL"
"Use Proxy","プロキシを使用する"
"User","ユーザー"
"VERBOSITY","VERBOSITY"
"Voided transaction","無効なトランザクション"
