"%s %s cycle.","%s %s cycle."
"--Please Select--","--選択してください--"
"3D Secure Card Validation","3Dセキュアカード検証"
"3D Secure Credit Card Validation","3Dセキュアカード検証"
"<label>Make Check payable to:</label> %s","<label>小切手の振出先を指定:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Allow Initial Fee Failure"
"An internal reference ID is required to save the payment profile.","An internal reference ID is required to save the payment profile."
"Auto Bill on Next Cycle","次の期間から自動課金されます。"
"Automatically Invoice All Items","自動ですべての商品を請求する。"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments)."
"Billing Agreement status is not set.","Billing Agreement status is not set."
"Billing Amount","Billing Amount"
"Billing Frequency","Billing Frequency"
"Billing Period","支払期間"
"Billing Period Unit","Billing Period Unit"
"Billing period unit is not defined or wrong.","Billing period unit is not defined or wrong."
"Cannot load configuration for payment method ""%s""","決済方法""%s""の設定を読み込めません"
"Cannot retrieve payment method instance.","支払方法のインスタンスを作成できません。"
"Cannot retrieve the payment info model object.","支払情報モデルを受け取れません。"
"Cannot retrieve the payment method model object.","Cannot retrieve the payment method model object."
"Card Verification Number","カード確認番号"
"Centinel API URL","3Dセキュア API URL"
"Check / Money Order","Check / Money Order"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Card Types","クレジットカード会社"
"Currency","通貨"
"Currency code is undefined.","Currency code is undefined."
"Customer ID is not set.","顧客IDがセットされていません。"
"Day","Day"
"Debug Mode","Debug Mode"
"Enabled","有効"
"Expiration Date","有効期限"
"Expiration Date: %s/%s","有効期限: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Full name of the person receiving the product or service paid for by the recurring payment."
"Initial Fee","初期費用"
"Initial non-recurring payment amount due immediately upon profile creation.","Initial non-recurring payment amount due immediately upon profile creation."
"Internal Reference ID","Internal Reference ID"
"Issue Number","取引番号"
"Make Check Payable to","Make Check Payable to"
"Make Check payable to:","Make Check payable to:"
"Make Check payable to: %s","小切手の振出先を指定: %s"
"Maximum Billing Cycles","最大支払期間"
"Maximum Order Total","注文合計最大値"
"Maximum Payment Failures","Maximum Payment Failures"
"Maximum Trial Billing Cycles","Maximum Trial Billing Cycles"
"Merchant Id","マーチャントID"
"Minimum Order Total","注文合計最小値"
"Month","月"
"N/A","N/A"
"Name on Card","カード名義"
"Name on the Card","カード名義人"
"Name on the Card: %s","カードの名義: %s"
"New Order Status","新規受注ステータス"
"Number of billing periods that make up one billing cycle.","Number of billing periods that make up one billing cycle."
"Overrides API URL that may be specified by a payment method.","Overrides API URL that may be specified by a payment method."
"Password","パスワード"
"Payment ID: %s","決済ID: %s"
"Payment Method","Payment Method"
"Payment Methods","支払方法"
"Payment Methods Section","支払方法項目"
"Payment Reference ID","Payment Reference ID"
"Payment Services","決済サービス"
"Payment from Applicable Countries","許可された国からの支払い。"
