"Actions","アクション"
"Active","有効"
"Add New Rule","新規ルール追加"
"Apply","反映"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","下記の条件を満たす場合のみ規定が適用されます。（全ての製品欄は空白のままにしてください。）"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","カートの商品が下記の条件を満たす場合のみ規定が適用されます。(全ての商品欄は空白のままにしてください。）"
"Apply the rule to cart items matching the following conditions","以下の条件にマッチするカートの商品に適用する"
"Apply to Shipping Amount","配送料に適用する"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","X を買うと Y を無料に (Y の金額だけディスカウントする)"
"By Fixed Amount","固定量による"
"By Fixed value","固定値"
"By Percentage","固定率"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","カート属性"
"Catalog","カタログ"
"Conditions","条件"
"Conditions combination","条件の組み合わせ"
"Coupon","Coupon"
"Coupon Code","クーポンコード"
"Customer Groups","顧客グループ"
"Customer is new buyer: %s","新規顧客: %s"
"Customer registered: %s","顧客登録日: %s"
"Date Expire","終了日"
"Date Start","開始日"
"Default Label","標準のラベル"
"Default Rule Label for All Store Views","全てのストアビューの標準ルール名称"
"Delete Rule","ルールの削除"
"Description","概要"
"Description: %s","概要: %s"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","ディスカウント対象個数の段階 (X を買った場合)"
"Edit Rule","ルールの編集"
"Edit Rule '%s'","'%s'のルールを編集"
"Expire at: %s","終了日: %s"
"Fixed amount discount","定額割引"
"Fixed amount discount for whole cart","カート全体に対する固定値引き量"
"For matching items only","一致する商品のみ"
"For shipment with matching items","一致する商品の出荷"
"Free Shipping","Free Shipping"
"From Date","開始日"
"General Information","総合情報"
"ID","ルールID"
"Inactive","無効"
"Labels","ラベル"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"NOT LOGGED IN","未ログイン"
"Name: %s","名前: %s"
"New Rule","新規ルール"
"No","いいえ"
"No Coupon","No Coupon"
"Number of Uses","Number of Uses"
"Payment Method","支払い方法"
"Percent of product price discount","商品価格値引率"
"Period","Period"
"Price in cart","カートの中の価格"
"Priority","優先度"
"Product attribute combination","商品属性の組み合わせ"
"Products subselection","製品の仮選択"
"Promotions","プロモーション"
"Public In RSS Feed","RSSフィードに公開"
"Quantity in cart","カートの中の個数"
"Row total in cart","カートの中の行数"
"Rule Information","ルール情報"
"Rule Name","ルール名"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save Rule","保存"
"Save and Continue Edit","Save and Continue Edit"
"Shipping Country","配送先の国"
"Shipping Method","配送方法"
"Shipping Postcode","配送先郵便番号"
"Shipping Region","配送エリア"
"Shipping State/Province","配送先の県/地方"
"Shopping Cart Price Rule","ショッピングカート価格ルール"
"Shopping Cart Price Rules","ショッピングカート価格ルール"
"Shopping Cart Price Rules based on deleted attribute ""%s"" has been disabled.","Shopping Cart Price Rules based on deleted attribute ""%s"" has been disabled."
"Special Price","Special Price"
"Specific Coupon","Specific Coupon"
"Start at: %s","開始日: %s"
"Status","状態"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","ストアビュー固有のラベル"
"Subtotal","小計"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","This rule no longer exists."
"To Date","日付で"
"To Fixed Amount","固定量"
"To Fixed Value","金額"
"To Percentage","割合"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Total","Total"
"Total Amount","Total Amount"
"Total Items Quantity","合計商品点数"
"Total Weight","総重量"
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update prices using the following information","商品の価格を以下の条件で更新する"
"Update product's %s %s: %s","商品を更新 %s %s: %s"
"Update the Product","商品を更新"
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Uses per Customer"
"Wrong rule specified.","不正なルールがしてされました"
"Yes","はい"
