"# of Uses","# 使用"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","アクション"
"Add New Tag","新規タグの追加"
"Add Tags","タグの追加"
"Add Your Tags:","タグに追加する:"
"Add to Cart","カートに入れる"
"Add to Wishlist","ほしい物リストに追加"
"All Tags","全てのタグ"
"Approved","承認"
"Are you sure you want to delete this tag?","このタグを削除してもいいですか？"
"Are you sure you want to do this?","実行してもいいですか？"
"Are you sure?","本当によろしいですか？"
"Back","戻る"
"Back to Tags List","タグリストに戻る"
"Base Popularity","Base Popularity"
"Block Information","ブロック情報"
"CSV","CSVファイル"
"Change status","状態変更"
"Click on a tag to view your corresponding products.","タグをクリックして関連する商品を表示します。"
"Country","国"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","レビューから"
"Customers","顧客"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","'%s'タグ付けされた顧客"
"Delete","削除"
"Delete Tag","タグの削除"
"Disabled","無効"
"Edit Tag '%s'","'%s'タグを編集"
"Email","メールアドレス"
"First Name","名"
"General Information","全般情報"
"Grid","表"
"ID","ID"
"Last Name","姓"
"List","リスト"
"Manage Tags","Manage Tags"
"My Recent Tags","最近のタグ"
"My Tags","タグ"
"Name","名前"
"New Tag","新しいタグ"
"No matches found.","一致するものが見つかりません。"
"Other people marked this product with these tags:","ほかの人はこんなタグをつけています:"
"Pending","処理待ち"
"Pending Tags","処理待ち中のタグ"
"Popular","人気"
"Popular Tags","人気のタグ"
"Popularity","人気度"
"Price","価格"
"Product Name","商品名"
"Product SKU","商品SKU"
"Product Tags","商品のタグ"
"Products","商品"
"Products Tagged by Administrators","Products Tagged by Administrators"
"Products Tagged by Customers","Products Tagged by Customers"
"Products Tagged with '%s'","'%s'タグ付けされた商品"
"Products tagged with '%s'","'%s' タグ付けされた商品"
"SKU","商品番号"
"Save And Continue Edit","Save And Continue Edit"
"Save Tag","保存"
"Search Terms","Search Terms"
"Status","状態"
"Tag","タグ"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag ""%s"" has been added to the product","Tag ""%s"" has been added to the product"
"Tag Name","タグ名"
"Tagged Products List","Tagged Products List"
"Tags","タグ"
"Tags Aren't Available","タグは利用できません"
"Tags List (All Available)","Tags List (All Available)"
"Tags:","タグ:"
"Telephone","電話番号"
"Unable to find any products tagged with '%s' in the current store","現在のストアで'%s'とタグ付けされた商品はありません"
"Unable to remove tag. Please, try again later.","タグを削除できません。やり直してください。"
"Unable to save tag(s)","タグを保存できません"
"Use spaces to separate tags. Use single quotes (') for phrases.","タグを区切るには空白を使って下さい。タグがフレーズの場合は、「'」で囲って下さい。"
"Uses","ユーザー"
"View All Tags","全てのタグを見る"
"View Customers","顧客を見る"
"View Products","商品を見る"
"Visible In","表示される"
"XML","XML"
"You have not tagged any products yet.","タグ付けした商品はありません"
"Your tag was successfully deleted","Your tag was successfully deleted"
"ZIP/Post Code","郵便番号"
